date,product,region,opening_cash,collections,payments,operating_cash_flow,capex,investments,investing_cash_flow,loans,dividends,financing_cash_flow,net_cash_flow,closing_cash
2025-03-17,Product_3,East,12287628,198171,121720,76451,-44978,4037,-40941,-18014,-1074,-19088,16422,12304050
2025-03-17,Product_2,South,12304050,207101,154699,52402,-40775,-19031,-59806,43745,-1211,42534,35130,12339180
2025-03-18,Product_10,South,12339180,111819,107779,4040,-21885,6708,-15177,45584,-3566,42018,30881,12370061
2025-03-18,Product_6,West,12370061,138032,175074,-37042,-38737,8036,-30701,-5708,-3052,-8760,-76503,12293558
2025-03-19,Product_6,East,12293558,147819,173689,-25870,-47567,-4380,-51947,10461,-4366,6095,-71722,12221836
2025-03-19,Product_1,West,12221836,192036,85523,106513,-35766,-15042,-50808,46060,-9079,36981,92686,12314522
2025-03-20,Product_7,East,12314522,96532,182689,-86157,-21821,-9606,-31427,-16251,-8186,-24437,-142021,12172501
2025-03-20,Product_6,South,12172501,249176,64551,184625,-7823,2112,-5711,-7084,-8677,-15761,163153,12335654
2025-03-20,Product_5,West,12335654,109685,111134,-1449,-28380,-10337,-38717,47847,-7225,40622,456,12336110
2025-03-20,Product_2,North,12336110,129756,182863,-53107,-43553,5993,-37560,10492,-4597,5895,-84772,12251338
2025-03-21,Product_4,West,12251338,187044,188406,-1362,-8815,-2769,-11584,-7554,-4468,-12022,-24968,12226370
2025-03-21,Product_1,North,12226370,101576,63320,38256,-15750,-15302,-31052,33463,-3673,29790,36994,12263364
2025-03-21,Product_3,North,12263364,249898,149051,100847,-32867,7463,-25404,46262,-9436,36826,112269,12375633
2025-03-21,Product_5,South,12375633,124678,167561,-42883,-17963,-3334,-21297,46617,-3885,42732,-21448,12354185
2025-03-22,Product_9,North,12354185,159732,167648,-7916,-20958,3369,-17589,17528,-9909,7619,-17886,12336299
2025-03-22,Product_3,South,12336299,170748,184481,-13733,-30401,-6607,-37008,49206,-9217,39989,-10752,12325547
2025-03-23,Product_6,North,12325547,238099,157382,80717,-26015,-10417,-36432,30387,-6720,23667,67952,12393499
2025-03-23,Product_1,North,12393499,184320,138572,45748,-24933,-7608,-32541,-15859,-6966,-22825,-9618,12383881
2025-03-23,Product_8,South,12383881,126015,119902,6113,-10577,2,-10575,30711,-6683,24028,19566,12403447
2025-03-23,Product_4,West,12403447,239719,94831,144888,-39768,-4434,-44202,46830,-4065,42765,143451,12546898
2025-03-24,Product_1,East,12546898,141554,110755,30799,-22706,2340,-20366,44994,-2441,42553,52986,12599884
2025-03-24,Product_2,South,12599884,154854,101256,53598,-49009,-9583,-58592,-5350,-3787,-9137,-14131,12585753
2025-03-24,Product_7,North,12585753,91801,111360,-19559,-27372,-3441,-30813,12334,-7169,5165,-45207,12540546
2025-03-25,Product_7,West,12540546,98051,121715,-23664,-15737,5251,-10486,30975,-5147,25828,-8322,12532224
2025-03-26,Product_1,West,12532224,118967,163535,-44568,-45733,-1533,-47266,14808,-4534,10274,-81560,12450664
2025-03-27,Product_10,East,12450664,192255,146322,45933,-49565,183,-49382,-18868,-5491,-24359,-27808,12422856
2025-03-28,Product_5,West,12422856,249635,168835,80800,-15931,8852,-7079,30639,-7848,22791,96512,12519368
2025-03-29,Product_6,South,12519368,81044,84363,-3319,-6582,-5626,-12208,46844,-4917,41927,26400,12545768
2025-03-29,Product_10,North,12545768,142224,155419,-13195,-42534,1746,-40788,19390,-6093,13297,-40686,12505082
2025-03-30,Product_5,South,12505082,102259,80655,21604,-38005,3610,-34395,37184,-5218,31966,19175,12524257
2025-03-31,Product_7,South,12524257,180846,140818,40028,-15195,-18463,-33658,-2862,-7396,-10258,-3888,12520369
2025-03-31,Product_2,West,12520369,166155,180198,-14043,-29845,4310,-25535,10562,-8697,1865,-37713,12482656
2025-04-01,Product_10,East,12482656,241616,122532,119084,-18100,4937,-13163,104,-9648,-9544,96377,12579033
2025-04-01,Product_1,West,12579033,182499,119025,63474,-35728,-10756,-46484,48045,-5016,43029,60019,12639052
2025-04-02,Product_6,West,12639052,160206,129468,30738,-43328,-15984,-59312,3723,-719,3004,-25570,12613482
2025-04-02,Product_3,East,12613482,176881,105929,70952,-39917,6028,-33889,9545,-9747,-202,36861,12650343
2025-04-02,Product_10,West,12650343,173144,124824,48320,-28525,5036,-23489,-4957,-9078,-14035,10796,12661139
2025-04-03,Product_1,West,12661139,248455,89483,158972,-12265,2763,-9502,-4267,-9118,-13385,136085,12797224
2025-04-03,Product_9,South,12797224,220319,81058,139261,-39929,-1365,-41294,11362,-4569,6793,104760,12901984
2025-04-04,Product_9,South,12901984,158209,159864,-1655,-49722,-2452,-52174,-4922,-5419,-10341,-64170,12837814
2025-04-05,Product_7,East,12837814,241409,61468,179941,-29309,-19192,-48501,8718,-5073,3645,135085,12972899
2025-04-05,Product_5,South,12972899,130281,173451,-43170,-5767,-16105,-21872,38026,-3454,34572,-30470,12942429
2025-04-05,Product_9,South,12942429,226404,136870,89534,-23174,6053,-17121,20502,-3906,16596,89009,13031438
2025-04-06,Product_3,South,13031438,151805,77194,74611,-31811,-13159,-44970,23723,-2032,21691,51332,13082770
2025-04-07,Product_2,East,13082770,139238,165433,-26195,-46556,-17853,-64409,18445,-4651,13794,-76810,13005960
2025-04-07,Product_6,North,13005960,186170,193085,-6915,-25081,-3126,-28207,33502,-2428,31074,-4048,13001912
2025-04-07,Product_8,South,13001912,232376,184232,48144,-45050,-4365,-49415,-10510,-4868,-15378,-16649,12985263
2025-04-07,Product_8,East,12985263,136022,121991,14031,-45927,-17927,-63854,29853,-8113,21740,-28083,12957180
2025-04-08,Product_7,West,12957180,120736,84530,36206,-17516,-5710,-23226,-15114,-3935,-19049,-6069,12951111
2025-04-08,Product_8,North,12951111,221172,198928,22244,-43169,8804,-34365,15790,-5738,10052,-2069,12949042
2025-04-09,Product_1,East,12949042,223377,72404,150973,-13989,-16785,-30774,19462,-2976,16486,136685,13085727
2025-04-09,Product_10,West,13085727,114160,66789,47371,-32181,-5615,-37796,45641,-4753,40888,50463,13136190
2025-04-09,Product_9,West,13136190,224347,123248,101099,-39550,925,-38625,-359,-6213,-6572,55902,13192092
2025-04-10,Product_6,South,13192092,130713,135403,-4690,-8981,-10507,-19488,-3016,-6376,-9392,-33570,13158522
2025-04-10,Product_10,North,13158522,198454,109402,89052,-31120,-19922,-51042,15891,-9089,6802,44812,13203334
2025-04-11,Product_2,East,13203334,248993,191049,57944,-15871,-12390,-28261,-4209,-8895,-13104,16579,13219913
2025-04-12,Product_3,East,13219913,230737,130246,100491,-5328,-6317,-11645,25890,-6794,19096,107942,13327855
2025-04-13,Product_4,North,13327855,100608,140986,-40378,-8675,2078,-6597,36017,-5643,30374,-16601,13311254
2025-04-14,Product_9,South,13311254,130468,93123,37345,-33810,-10282,-44092,42637,-28,42609,35862,13347116
2025-04-15,Product_6,East,13347116,125406,107657,17749,-7024,4874,-2150,-6497,-5791,-12288,3311,13350427
2025-04-15,Product_3,South,13350427,130390,119557,10833,-6906,-12601,-19507,-12039,-9756,-21795,-30469,13319958
2025-04-15,Product_3,South,13319958,157567,140664,16903,-20663,-18540,-39203,8561,-1416,7145,-15155,13304803
2025-04-16,Product_7,North,13304803,174968,176116,-1148,-42146,-12471,-54617,48607,-555,48052,-7713,13297090
2025-04-16,Product_4,West,13297090,124460,122119,2341,-40321,-18221,-58542,-6814,-75,-6889,-63090,13234000
2025-04-17,Product_2,West,13234000,229805,79157,150648,-40030,-387,-40417,-14812,-8802,-23614,86617,13320617
2025-04-17,Product_1,South,13320617,182302,96445,85857,-10796,-5550,-16346,19131,-8123,11008,80519,13401136
2025-04-17,Product_7,North,13401136,240897,96839,144058,-46576,9210,-37366,48322,-7169,41153,147845,13548981
2025-04-18,Product_5,North,13548981,237060,95507,141553,-38708,-19660,-58368,3806,-4133,-327,82858,13631839
2025-04-18,Product_4,South,13631839,220824,112127,108697,-14241,-19547,-33788,-9024,-818,-9842,65067,13696906
2025-04-18,Product_5,North,13696906,177170,137707,39463,-29111,-19080,-48191,-17983,-7957,-25940,-34668,13662238
2025-04-19,Product_9,East,13662238,93237,111586,-18349,-21251,-748,-21999,-9293,-1438,-10731,-51079,13611159
2025-04-19,Product_5,West,13611159,184647,95031,89616,-47929,-19789,-67718,37851,-6159,31692,53590,13664749
2025-04-19,Product_2,West,13664749,145867,148780,-2913,-13169,5126,-8043,-5409,-727,-6136,-17092,13647657
2025-04-20,Product_9,West,13647657,192113,190431,1682,-15929,7323,-8606,3519,-1009,2510,-4414,13643243
2025-04-20,Product_4,North,13643243,190805,178089,12716,-28831,-6735,-35566,-14576,-4241,-18817,-41667,13601576
2025-04-20,Product_7,West,13601576,115929,121892,-5963,-25539,3862,-21677,-10785,-6617,-17402,-45042,13556534
2025-04-20,Product_2,North,13556534,157462,173396,-15934,-36501,9774,-26727,5008,-1176,3832,-38829,13517705
2025-04-21,Product_1,East,13517705,204984,158256,46728,-40001,7021,-32980,-15300,-5906,-21206,-7458,13510247
2025-04-22,Product_7,West,13510247,153366,116096,37270,-12910,-4153,-17063,30248,-9120,21128,41335,13551582
2025-04-23,Product_6,North,13551582,174533,101954,72579,-29183,-11196,-40379,-19405,-7875,-27280,4920,13556502
2025-04-23,Product_10,South,13556502,231895,65972,165923,-20882,-19142,-40024,3769,-8636,-4867,121032,13677534
2025-04-23,Product_1,West,13677534,113798,167791,-53993,-29290,-6695,-35985,46983,-2850,44133,-45845,13631689
2025-04-23,Product_1,North,13631689,91953,166410,-74457,-28535,-10000,-38535,-15945,-5402,-21347,-134339,13497350
2025-04-24,Product_9,South,13497350,179976,88251,91725,-9532,-15076,-24608,28037,-6085,21952,89069,13586419
2025-04-24,Product_7,North,13586419,150400,159525,-9125,-40628,6849,-33779,-9298,-8428,-17726,-60630,13525789
2025-04-24,Product_10,North,13525789,145421,96021,49400,-8782,3341,-5441,29111,-7482,21629,65588,13591377
2025-04-24,Product_10,West,13591377,205695,194585,11110,-18335,-8628,-26963,14840,-7795,7045,-8808,13582569
2025-04-25,Product_2,North,13582569,106393,117480,-11087,-27754,799,-26955,-10893,-5993,-16886,-54928,13527641
2025-04-25,Product_6,East,13527641,197595,112066,85529,-47942,-3862,-51804,24527,-9190,15337,49062,13576703
2025-04-26,Product_7,East,13576703,162315,89086,73229,-22322,-10172,-32494,-16565,-3201,-19766,20969,13597672
2025-04-26,Product_4,East,13597672,240131,173457,66674,-37826,-8878,-46704,1322,-2971,-1649,18321,13615993
2025-04-26,Product_8,South,13615993,88314,153831,-65517,-14628,-10646,-25274,16113,-2486,13627,-77164,13538829
2025-04-26,Product_2,South,13538829,119029,61737,57292,-14096,-62,-14158,7499,-9126,-1627,41507,13580336
2025-04-27,Product_8,West,13580336,80294,84596,-4302,-37649,-8566,-46215,38382,-5330,33052,-17465,13562871
2025-04-27,Product_6,North,13562871,83771,134099,-50328,-22558,-18836,-41394,38436,-9475,28961,-62761,13500110
2025-04-28,Product_8,North,13500110,112376,137924,-25548,-34332,-6031,-40363,31952,-4607,27345,-38566,13461544
2025-04-28,Product_1,East,13461544,237921,61541,176380,-7765,-9694,-17459,9283,-3083,6200,165121,13626665
2025-04-28,Product_2,South,13626665,228878,62972,165906,-23256,-14401,-37657,-1347,-5275,-6622,121627,13748292
2025-04-28,Product_1,West,13748292,124013,87909,36104,-45218,7473,-37745,37572,-3959,33613,31972,13780264
2025-04-29,Product_6,South,13780264,218919,63285,155634,-40863,-3296,-44159,-1295,-555,-1850,109625,13889889
2025-04-29,Product_9,East,13889889,133915,169543,-35628,-15619,-13146,-28765,39274,-7637,31637,-32756,13857133
2025-04-29,Product_10,East,13857133,106739,188041,-81302,-15618,-16207,-31825,-12627,-2513,-15140,-128267,13728866
2025-04-29,Product_8,West,13728866,164085,177996,-13911,-44220,4451,-39769,-12358,-6404,-18762,-72442,13656424
2025-04-30,Product_1,South,13656424,215453,90782,124671,-9782,5881,-3901,34712,-7460,27252,148022,13804446
2025-05-01,Product_7,East,13804446,136411,157469,-21058,-7523,8158,635,-10323,-4581,-14904,-35327,13769119
2025-05-01,Product_4,South,13769119,130539,82936,47603,-47725,-7045,-54770,-6837,-6035,-12872,-20039,13749080
2025-05-02,Product_8,East,13749080,112214,62413,49801,-14505,2377,-12128,-17895,-2568,-20463,17210,13766290
2025-05-02,Product_3,South,13766290,138408,176908,-38500,-38560,-5805,-44365,45131,-3110,42021,-40844,13725446
2025-05-02,Product_7,East,13725446,138703,123079,15624,-26577,-18786,-45363,28114,-7314,20800,-8939,13716507
2025-05-03,Product_5,East,13716507,192333,97792,94541,-27301,-14859,-42160,-6223,-5578,-11801,40580,13757087
2025-05-03,Product_2,West,13757087,239541,194917,44624,-49650,3290,-46360,10699,-378,10321,8585,13765672
2025-05-03,Product_2,North,13765672,137089,188713,-51624,-5737,-3381,-9118,-5221,-1888,-7109,-67851,13697821
2025-05-04,Product_6,West,13697821,101630,165575,-63945,-17178,-65,-17243,27258,-6400,20858,-60330,13637491
2025-05-04,Product_4,North,13637491,192167,127359,64808,-11852,-6928,-18780,-4889,-7777,-12666,33362,13670853
2025-05-04,Product_9,West,13670853,205014,190466,14548,-6777,-2394,-9171,4014,-1777,2237,7614,13678467
2025-05-05,Product_3,West,13678467,104502,95757,8745,-46111,-2291,-48402,38645,-9903,28742,-10915,13667552
2025-05-06,Product_7,East,13667552,181026,130192,50834,-41901,5735,-36166,32021,-1242,30779,45447,13712999
2025-05-06,Product_8,South,13712999,108511,132782,-24271,-36467,-1698,-38165,35568,-3232,32336,-30100,13682899
2025-05-06,Product_4,South,13682899,209999,160128,49871,-15683,3664,-12019,13172,-1721,11451,49303,13732202
2025-05-06,Product_5,North,13732202,91017,96613,-5596,-25594,-8616,-34210,10348,-64,10284,-29522,13702680
2025-05-07,Product_9,East,13702680,138759,192040,-53281,-5368,-11576,-16944,15010,-5002,10008,-60217,13642463
2025-05-07,Product_10,North,13642463,207152,138858,68294,-6469,-15275,-21744,49795,-3622,46173,92723,13735186
2025-05-07,Product_5,South,13735186,239437,161735,77702,-27912,-15849,-43761,36572,-8989,27583,61524,13796710
2025-05-07,Product_8,East,13796710,230348,157459,72889,-10534,6469,-4065,15670,-3718,11952,80776,13877486
2025-05-08,Product_8,North,13877486,83641,147132,-63491,-37959,-6694,-44653,26182,-8587,17595,-90549,13786937
2025-05-08,Product_7,West,13786937,101498,130198,-28700,-42094,-10935,-53029,7197,-4335,2862,-78867,13708070
2025-05-09,Product_8,North,13708070,139624,138177,1447,-46964,-7274,-54238,34646,-8536,26110,-26681,13681389
2025-05-09,Product_8,West,13681389,125712,197345,-71633,-11284,7038,-4246,30830,-8414,22416,-53463,13627926
2025-05-10,Product_1,West,13627926,126219,73334,52885,-33615,-12097,-45712,8527,-7002,1525,8698,13636624
2025-05-10,Product_9,North,13636624,179318,127300,52018,-11009,842,-10167,40213,-9604,30609,72460,13709084
2025-05-10,Product_9,East,13709084,137442,189070,-51628,-25454,3366,-22088,-16350,-9324,-25674,-99390,13609694
2025-05-10,Product_7,North,13609694,83190,108113,-24923,-13789,-19609,-33398,-2541,-2650,-5191,-63512,13546182
2025-05-11,Product_1,South,13546182,161099,147421,13678,-11895,-2457,-14352,47067,-5481,41586,40912,13587094
2025-05-12,Product_1,West,13587094,170365,145468,24897,-43931,3055,-40876,18032,-1231,16801,822,13587916
2025-05-13,Product_8,West,13587916,219143,113413,105730,-31149,-4460,-35609,-213,-4598,-4811,65310,13653226
2025-05-13,Product_1,East,13653226,221222,172223,48999,-32750,-11407,-44157,-2642,-223,-2865,1977,13655203
2025-05-13,Product_6,South,13655203,108074,104194,3880,-31853,-11817,-43670,661,-1341,-680,-40470,13614733
2025-05-14,Product_2,West,13614733,93703,177491,-83788,-27942,-9782,-37724,13161,-6839,6322,-115190,13499543
2025-05-15,Product_5,West,13499543,113349,107098,6251,-47899,-19868,-67767,31990,-3385,28605,-32911,13466632
2025-05-16,Product_6,South,13466632,204693,151655,53038,-7835,-17262,-25097,-15866,-9508,-25374,2567,13469199
2025-05-16,Product_2,South,13469199,95690,61909,33781,-30703,-5504,-36207,-7938,-9850,-17788,-20214,13448985
2025-05-16,Product_6,West,13448985,216225,159270,56955,-5889,-555,-6444,8205,-6967,1238,51749,13500734
2025-05-17,Product_6,North,13500734,222012,119010,103002,-16258,4485,-11773,-18933,-4223,-23156,68073,13568807
2025-05-17,Product_1,East,13568807,95187,63985,31202,-48052,-437,-48489,27322,-4538,22784,5497,13574304
2025-05-17,Product_1,West,13574304,151327,77221,74106,-25968,9373,-16595,7937,-356,7581,65092,13639396
2025-05-18,Product_8,West,13639396,182951,168306,14645,-25802,-9167,-34969,8754,-4357,4397,-15927,13623469
2025-05-19,Product_8,West,13623469,93201,193811,-100610,-18231,7306,-10925,22495,-4784,17711,-93824,13529645
2025-05-19,Product_1,West,13529645,89964,72336,17628,-16939,7412,-9527,25591,-8728,16863,24964,13554609
2025-05-19,Product_7,East,13554609,178537,122672,55865,-32228,-5571,-37799,47808,-966,46842,64908,13619517
2025-05-19,Product_10,West,13619517,168074,128936,39138,-20371,4610,-15761,17310,-3523,13787,37164,13656681
2025-05-20,Product_9,North,13656681,179862,98889,80973,-49966,-15561,-65527,30255,-7520,22735,38181,13694862
2025-05-20,Product_2,East,13694862,87869,85958,1911,-15766,-232,-15998,6145,-28,6117,-7970,13686892
2025-05-20,Product_2,North,13686892,155791,102406,53385,-45524,3332,-42192,-4236,-5755,-9991,1202,13688094
2025-05-20,Product_3,East,13688094,124645,182759,-58114,-12244,-13628,-25872,44471,-572,43899,-40087,13648007
2025-05-21,Product_7,North,13648007,96709,178428,-81719,-20210,-3258,-23468,18674,-1721,16953,-88234,13559773
2025-05-21,Product_6,North,13559773,204476,119846,84630,-43014,-11616,-54630,7250,-3845,3405,33405,13593178
2025-05-22,Product_10,West,13593178,198922,181280,17642,-48876,9011,-39865,30227,-2513,27714,5491,13598669
2025-05-22,Product_9,South,13598669,141914,123888,18026,-18750,8525,-10225,48515,-7140,41375,49176,13647845
2025-05-23,Product_5,North,13647845,244437,118876,125561,-28704,5089,-23615,-14378,-1877,-16255,85691,13733536
2025-05-23,Product_5,West,13733536,171141,162390,8751,-36320,-19335,-55655,12694,-7846,4848,-42056,13691480
2025-05-24,Product_1,South,13691480,219491,130799,88692,-45719,-7081,-52800,17276,-1755,15521,51413,13742893
2025-05-24,Product_8,West,13742893,90514,107456,-16942,-12233,-18898,-31131,46133,-3273,42860,-5213,13737680
2025-05-24,Product_2,South,13737680,189101,197328,-8227,-48148,9401,-38747,21548,-6554,14994,-31980,13705700
2025-05-24,Product_9,West,13705700,208845,173815,35030,-29386,-15154,-44540,6205,-9186,-2981,-12491,13693209
2025-05-25,Product_1,West,13693209,221488,194484,27004,-21440,4406,-17034,-18125,-4543,-22668,-12698,13680511
2025-05-25,Product_9,North,13680511,212425,74691,137734,-9311,-4693,-14004,-9206,-2934,-12140,111590,13792101
2025-05-25,Product_7,East,13792101,237944,101708,136236,-46093,800,-45293,23397,-8625,14772,105715,13897816
2025-05-25,Product_6,North,13897816,181975,153848,28127,-45060,-4562,-49622,24999,-2098,22901,1406,13899222
2025-05-26,Product_6,North,13899222,134213,173909,-39696,-18026,-10679,-28705,-14565,-8493,-23058,-91459,13807763
2025-05-26,Product_4,South,13807763,213835,80389,133446,-36498,-16759,-53257,15825,-550,15275,95464,13903227
2025-05-26,Product_7,East,13903227,249251,192659,56592,-47782,-14080,-61862,34412,-4409,30003,24733,13927960
2025-05-26,Product_8,West,13927960,106751,98174,8577,-17041,3227,-13814,15201,-3301,11900,6663,13934623
2025-05-27,Product_3,East,13934623,205342,185758,19584,-10322,-6068,-16390,9299,-8795,504,3698,13938321
2025-05-27,Product_10,South,13938321,191672,180902,10770,-26390,369,-26021,-7119,-9587,-16706,-31957,13906364
2025-05-27,Product_9,West,13906364,187009,198905,-11896,-20754,-10720,-31474,15282,-3969,11313,-32057,13874307
2025-05-28,Product_4,North,13874307,150102,193268,-43166,-36115,-2827,-38942,-8655,-9856,-18511,-100619,13773688
2025-05-29,Product_1,West,13773688,183693,145283,38410,-49484,-8022,-57506,15771,-8502,7269,-11827,13761861
2025-05-29,Product_8,North,13761861,197399,164885,32514,-34377,-3195,-37572,22733,-946,21787,16729,13778590
2025-05-30,Product_5,North,13778590,128825,73877,54948,-34990,-9861,-44851,35283,-9353,25930,36027,13814617
2025-05-30,Product_10,South,13814617,248651,75775,172876,-16039,9097,-6942,14207,-6169,8038,173972,13988589
2025-05-30,Product_3,North,13988589,80055,148697,-68642,-37873,-16799,-54672,46205,-8934,37271,-86043,13902546
2025-05-31,Product_4,East,13902546,222728,76493,146235,-8632,3112,-5520,41779,-5684,36095,176810,14079356
2025-05-31,Product_3,West,14079356,196603,121607,74996,-21940,4003,-17937,14815,-145,14670,71729,14151085
2025-05-31,Product_10,East,14151085,99622,90408,9214,-13837,-4593,-18430,9309,-6382,2927,-6289,14144796
2025-06-01,Product_5,West,14144796,80370,174212,-93842,-5486,3762,-1724,6613,-3196,3417,-92149,14052647
2025-06-01,Product_1,West,14052647,180565,136349,44216,-46916,-11428,-58344,8225,-238,7987,-6141,14046506
2025-06-01,Product_4,West,14046506,212177,176074,36103,-48209,-10281,-58490,-1949,-2691,-4640,-27027,14019479
2025-06-02,Product_9,North,14019479,194682,117175,77507,-11849,-16753,-28602,-1024,-1490,-2514,46391,14065870
2025-06-03,Product_3,North,14065870,127078,91113,35965,-20401,-7116,-27517,17563,-1646,15917,24365,14090235
2025-06-04,Product_3,North,14090235,151492,136693,14799,-40135,-13304,-53439,7862,-5190,2672,-35968,14054267
2025-06-04,Product_8,East,14054267,84331,104648,-20317,-33549,-3754,-37303,5761,-3262,2499,-55121,13999146
2025-06-04,Product_9,West,13999146,152572,147858,4714,-24131,-15323,-39454,30617,-4109,26508,-8232,13990914
2025-06-05,Product_4,North,13990914,126926,135271,-8345,-39457,-10237,-49694,43171,-4541,38630,-19409,13971505
2025-06-05,Product_6,West,13971505,173135,126354,46781,-42289,-18876,-61165,18409,-1129,17280,2896,13974401
2025-06-05,Product_7,South,13974401,234368,178566,55802,-28616,6382,-22234,2419,-6523,-4104,29464,14003865
2025-06-05,Product_1,South,14003865,142182,152476,-10294,-47249,8341,-38908,26144,-8974,17170,-32032,13971833
2025-06-06,Product_7,West,13971833,174826,157648,17178,-33513,-17044,-50557,-11923,-3722,-15645,-49024,13922809
2025-06-07,Product_10,West,13922809,135612,160474,-24862,-41159,-13058,-54217,-6194,-9108,-15302,-94381,13828428
2025-06-07,Product_2,North,13828428,217925,100477,117448,-37222,-1680,-38902,32243,-968,31275,109821,13938249
2025-06-07,Product_2,North,13938249,194560,194275,285,-44267,-14827,-59094,5368,-9173,-3805,-62614,13875635
2025-06-07,Product_7,West,13875635,80801,166538,-85737,-24733,4389,-20344,-10031,-3201,-13232,-119313,13756322
2025-06-08,Product_2,West,13756322,236777,88363,148414,-35720,-10028,-45748,13351,-3377,9974,112640,13868962
2025-06-08,Product_5,West,13868962,94855,185074,-90219,-30738,-13228,-43966,-269,-788,-1057,-135242,13733720
2025-06-09,Product_9,South,13733720,82889,69569,13320,-26657,-9859,-36516,-12388,-2492,-14880,-38076,13695644
2025-06-09,Product_6,South,13695644,238403,115897,122506,-18934,-9905,-28839,-1294,-5298,-6592,87075,13782719
2025-06-10,Product_6,East,13782719,204746,80431,124315,-45088,-8633,-53721,18015,-1734,16281,86875,13869594
2025-06-11,Product_8,South,13869594,198104,72818,125286,-27686,3977,-23709,29832,-8163,21669,123246,13992840
2025-06-11,Product_7,East,13992840,152204,105784,46420,-45769,-10079,-55848,14959,-8859,6100,-3328,13989512
2025-06-12,Product_3,North,13989512,203852,86708,117144,-23847,3221,-20626,-15078,-4392,-19470,77048,14066560
2025-06-13,Product_2,South,14066560,99551,173319,-73768,-40995,2948,-38047,39072,-2024,37048,-74767,13991793
2025-06-13,Product_10,East,13991793,146691,162781,-16090,-23569,-12914,-36483,47853,-3621,44232,-8341,13983452
2025-06-13,Product_1,West,13983452,104226,108380,-4154,-12848,-5726,-18574,34545,-1293,33252,10524,13993976
2025-06-13,Product_2,North,13993976,91294,86425,4869,-8175,-12151,-20326,-10575,-9629,-20204,-35661,13958315
2025-06-14,Product_3,West,13958315,96091,179943,-83852,-5002,4514,-488,30411,-8190,22221,-62119,13896196
2025-06-15,Product_1,West,13896196,226320,131309,95011,-17786,-1048,-18834,-4963,-1885,-6848,69329,13965525
2025-06-15,Product_5,West,13965525,120612,73450,47162,-14491,-1278,-15769,-13209,-7171,-20380,11013,13976538
2025-06-16,Product_8,South,13976538,167086,161291,5795,-14967,-3782,-18749,23220,-8627,14593,1639,13978177
2025-06-16,Product_4,West,13978177,136131,88876,47255,-27908,-16856,-44764,-29,-76,-105,2386,13980563
2025-06-16,Product_10,South,13980563,186601,121260,65341,-44462,-4165,-48627,-16654,-7024,-23678,-6964,13973599
2025-06-17,Product_10,West,13973599,113012,162153,-49141,-14597,5557,-9040,44204,-7737,36467,-21714,13951885
2025-06-18,Product_1,South,13951885,228348,114639,113709,-12310,-17601,-29911,-9609,-7325,-16934,66864,14018749
2025-06-19,Product_2,North,14018749,159071,182611,-23540,-10122,-10148,-20270,-14613,-7631,-22244,-66054,13952695
2025-06-19,Product_5,North,13952695,244797,191632,53165,-6312,-1795,-8107,-8405,-5646,-14051,31007,13983702
2025-06-20,Product_7,South,13983702,194476,95645,98831,-26966,7846,-19120,49619,-745,48874,128585,14112287
2025-06-20,Product_6,South,14112287,133175,110762,22413,-27684,-18275,-45959,38328,-9779,28549,5003,14117290
2025-06-21,Product_8,North,14117290,238785,167157,71628,-12187,-19968,-32155,12583,-5985,6598,46071,14163361
2025-06-21,Product_9,East,14163361,195844,79510,116334,-17120,-18457,-35577,-14705,-4076,-18781,61976,14225337
2025-06-22,Product_1,South,14225337,204034,81605,122429,-49813,-6397,-56210,27598,-8529,19069,85288,14310625
2025-06-22,Product_3,South,14310625,247984,122784,125200,-20928,1274,-19654,14416,-4228,10188,115734,14426359
2025-06-22,Product_7,East,14426359,240119,111310,128809,-20222,-7637,-27859,24563,-9858,14705,115655,14542014
2025-06-22,Product_9,South,14542014,149672,106246,43426,-16161,-17311,-33472,-17190,-6152,-23342,-13388,14528626
2025-06-23,Product_3,West,14528626,218291,130864,87427,-8621,67,-8554,24433,-5310,19123,97996,14626622
2025-06-24,Product_9,North,14626622,161718,96558,65160,-20659,-18355,-39014,-9565,-4512,-14077,12069,14638691
2025-06-24,Product_8,West,14638691,167794,153823,13971,-8688,-12311,-20999,-18621,-4243,-22864,-29892,14608799
2025-06-24,Product_9,North,14608799,194634,188701,5933,-43379,2511,-40868,-7484,-3923,-11407,-46342,14562457
2025-06-25,Product_5,North,14562457,232586,197521,35065,-6725,-4130,-10855,-10696,-7522,-18218,5992,14568449
2025-06-26,Product_1,South,14568449,174488,135591,38897,-34508,-7324,-41832,5192,-8338,-3146,-6081,14562368
2025-06-26,Product_7,North,14562368,215797,148207,67590,-6409,-11795,-18204,-3635,-256,-3891,45495,14607863
2025-06-26,Product_10,South,14607863,226776,110575,116201,-34902,1337,-33565,-18805,-4559,-23364,59272,14667135
2025-06-26,Product_8,East,14667135,101686,92161,9525,-48081,-17598,-65679,43190,-496,42694,-13460,14653675
2025-06-27,Product_7,West,14653675,80909,174110,-93201,-5372,9033,3661,2620,-1344,1276,-88264,14565411
2025-06-27,Product_4,West,14565411,166590,122175,44415,-37624,-9415,-47039,41264,-9407,31857,29233,14594644
2025-06-27,Product_4,East,14594644,124225,192475,-68250,-22810,-11145,-33955,18636,-10,18626,-83579,14511065
2025-06-27,Product_6,East,14511065,131977,173050,-41073,-40771,9256,-31515,5651,-7195,-1544,-74132,14436933
